id,function_ref,method_name,step_order,object_chain,method_call,method_parameters,object_type,return_type,method_description,timestamp,function_name
18,5,append_hybrid_shape,3,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 20:43:39,Create_Construction_Plane
19,5,update,4,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 20:43:39,Create_Construction_Plane
20,6,add_new_direction,1,hybrid_shape_factory,hybrid_shape_factory.add_new_direction(i_element),['i_element'],method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_direction.HybridShapeDirection'>,Add a new direction to an annotation in CATIA. Params: `i_element` (Reference to the target element). Returns a HybridShapeDirection object representing the newly added direction. For defining directional attributes within hybrid shape annotations in CATIA models.,2025-10-09 20:43:39,Create_Reference_Line
21,6,add_new_line_pt_dir,2,hybrid_shape_factory,"hybrid_shape_factory.add_new_line_pt_dir(i_pt, i_direction, i_begin_offset, i_end_offset, i_orientation)","['i_pt', 'i_direction', 'i_begin_offset', 'i_end_offset', 'i_orientation']",method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_line_pt_dir.HybridShapeLinePtDir'>,"Add a new line defined by a point and direction in CATIA's HybridShape environment. Params: `i_pt` (Reference to starting point), `i_direction` (HybridShapeDirection for line orientation), `i_begin_offset` & `i_end_offset` (floats specifying offsets from the start point), `i_orientation` (bool indicating line orientation). Returns a HybridShapeLinePtDir object. For creating precise lines in hybrid shape modeling scenarios.",2025-10-09 20:43:39,Create_Reference_Line
22,6,name,3,line1,line1.name = 'Line.1',"[""'Line.1'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 20:43:39,Create_Reference_Line
23,6,append_hybrid_shape,4,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 20:43:39,Create_Reference_Line
24,6,update,5,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 20:43:39,Create_Reference_Line
25,7,create_reference_from_object,1,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Angled_Line
26,7,create_reference_from_object,2,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Angled_Line
27,7,add_new_line_angle,3,hybrid_shape_factory,"hybrid_shape_factory.add_new_line_angle(i_curve, i_surface, i_point, i_geodesic, i_begin_offset, i_end_offset, i_angle, i_orientation)","['i_curve', 'i_surface', 'i_point', 'i_geodesic', 'i_begin_offset', 'i_end_offset', 'i_angle', 'i_orientation']",method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_line_angle.HybridShapeLineAngle'>,"Add a new line angle to an annotation in CATIA. Params: `i_curve` (curve reference), `i_surface` (surface reference), `i_point` (point reference), `i_geodesic` (boolean for geodesic path), `i_begin_offset`, `i_end_offset` (floats for offsets), `i_angle` (float for angle), `i_orientation` (boolean for orientation). Returns a `HybridShapeLineAngle`. For creating precise line angles in hybrid shape annotations.",2025-10-09 20:43:39,Create_Angled_Line
28,7,name,4,line2,line2.name = 'Line.2',"[""'Line.2'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 20:43:39,Create_Angled_Line
29,7,append_hybrid_shape,5,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 20:43:39,Create_Angled_Line
30,7,update,6,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 20:43:39,Create_Angled_Line
31,8,create_reference_from_object,1,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
32,8,create_reference_from_object,2,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
33,8,create_reference_from_object,3,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
34,8,create_reference_from_object,4,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
35,8,create_reference_from_object,5,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
36,8,create_reference_from_object,6,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
37,8,create_reference_from_object,7,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
38,8,create_reference_from_object,8,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
39,8,add_new_loft,9,hybrid_shape_factory,hybrid_shape_factory.add_new_loft(),[],method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_loft.HybridShapeLoft'>,"Create a new loft feature in CATIA's HybridShape environment. Params: `self` (NO_ANNOTATION instance). Returns: an instance of `HybridShapeLoft`. For generating complex 3D shapes by blending multiple profiles along guide curves, enhancing design flexibility and precision in hybrid shape modeling.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
40,8,add_section_to_loft,10,loft_surface1,"loft_surface1.add_section_to_loft(i_crv, i_ori, i_point)","['i_crv', 'i_ori', 'i_point']",method,,"Add a section to a loft in CATIA. Params: `i_crv` (curve reference), `i_ori` (orientation index, integer), `i_point` (reference or VBANothing for point). Returns None. For defining additional cross-sectional shapes along the loft path, enhancing shape complexity and customization within hybrid shape modeling.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
41,8,set_start_face_for_closing,11,loft_surface1,loft_surface1.set_start_face_for_closing(i_face),['i_face'],method,,"Set the starting face for closing a HybridShapeLoft in CATIA. Params: `i_face` (Reference to the initial face). Returns: None. For defining the boundary face used when creating or modifying a lofted shape, ensuring proper closure of the geometry.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
42,8,add_section_to_loft,12,loft_surface1,"loft_surface1.add_section_to_loft(i_crv, i_ori, i_point)","['i_crv', 'i_ori', 'i_point']",method,,"Add a section to a loft in CATIA. Params: `i_crv` (curve reference), `i_ori` (orientation index, integer), `i_point` (reference or VBANothing for point). Returns None. For defining additional cross-sectional shapes along the loft path, enhancing shape complexity and customization within hybrid shape modeling.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
43,8,set_end_face_for_closing,13,loft_surface1,loft_surface1.set_end_face_for_closing(i_face),['i_face'],method,,"Set the end face for closing a HybridShapeLoft in CATIA. Params: `i_face` - Reference to the face used as an end boundary. Returns: None. For defining the closure of a lofted shape by specifying its terminating surface, ensuring proper geometry completion and integrity within the design model.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
44,8,remove_section_point,14,loft_surface1,loft_surface1.remove_section_point(i_section),['i_section'],method,,"Remove a section point from a HybridShapeLoft annotation in CATIA. Params: `self` (NO_ANNOTATION instance), `i_section` (<class 'pycatia.in_interfaces.reference.Reference'>, the section to remove). Returns: None. For modifying loft annotations by removing specific sections within a hybrid shape's geometry definition.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
45,8,remove_section_point,15,loft_surface1,loft_surface1.remove_section_point(i_section),['i_section'],method,,"Remove a section point from a HybridShapeLoft annotation in CATIA. Params: `self` (NO_ANNOTATION instance), `i_section` (<class 'pycatia.in_interfaces.reference.Reference'>, the section to remove). Returns: None. For modifying loft annotations by removing specific sections within a hybrid shape's geometry definition.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
46,8,add_guide,16,loft_surface1,loft_surface1.add_guide(i_guide),['i_guide'],method,,"Add a guide to the `HybridShapeLoft` in CATIA. Params: `self` (NO_ANNOTATION instance), `i_guide` (<class 'pycatia.in_interfaces.reference.Reference'> representing the guide). Returns: None. For defining the path or shape of a lofted feature by associating it with a specified guide reference within the CATIA environment.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
47,8,add_guide,17,loft_surface1,loft_surface1.add_guide(i_guide),['i_guide'],method,,"Add a guide to the `HybridShapeLoft` in CATIA. Params: `self` (NO_ANNOTATION instance), `i_guide` (<class 'pycatia.in_interfaces.reference.Reference'> representing the guide). Returns: None. For defining the path or shape of a lofted feature by associating it with a specified guide reference within the CATIA environment.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
48,8,name,18,loft_surface1,loft_surface1.name = 'Multi-sections Surface.1',"[""'Multi-sections Surface.1'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
49,8,append_hybrid_shape,19,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
50,8,update,20,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 20:43:39,Create_Upper_Loft_Surface
51,9,create_reference_from_object,1,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
52,9,create_reference_from_object,2,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
53,9,create_reference_from_object,3,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
54,9,create_reference_from_object,4,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
55,9,create_reference_from_object,5,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
56,9,create_reference_from_object,6,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
57,9,create_reference_from_object,7,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
58,9,create_reference_from_geometry,8,part,"part.create_reference_from_geometry(i_product, i_geometry)","['i_product', 'i_geometry']",method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference from geometry within a product in CATIA's AnalysisManager. Params: `i_product` (Product object), `i_geometry` (Reference to geometry). Returns a new Reference object linked to the specified geometry in the given product. For integrating geometric data into analysis workflows by establishing references for further manipulation or evaluation.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
59,9,add_new_loft,9,hybrid_shape_factory,hybrid_shape_factory.add_new_loft(),[],method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_loft.HybridShapeLoft'>,"Create a new loft feature in CATIA's HybridShape environment. Params: `self` (NO_ANNOTATION instance). Returns: an instance of `HybridShapeLoft`. For generating complex 3D shapes by blending multiple profiles along guide curves, enhancing design flexibility and precision in hybrid shape modeling.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
60,9,add_section_to_loft,10,loft_surface2,"loft_surface2.add_section_to_loft(i_crv, i_ori, i_point)","['i_crv', 'i_ori', 'i_point']",method,,"Add a section to a loft in CATIA. Params: `i_crv` (curve reference), `i_ori` (orientation index, integer), `i_point` (reference or VBANothing for point). Returns None. For defining additional cross-sectional shapes along the loft path, enhancing shape complexity and customization within hybrid shape modeling.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
61,9,set_start_face_for_closing,11,loft_surface2,loft_surface2.set_start_face_for_closing(i_face),['i_face'],method,,"Set the starting face for closing a HybridShapeLoft in CATIA. Params: `i_face` (Reference to the initial face). Returns: None. For defining the boundary face used when creating or modifying a lofted shape, ensuring proper closure of the geometry.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
62,9,add_section_to_loft,12,loft_surface2,"loft_surface2.add_section_to_loft(i_crv, i_ori, i_point)","['i_crv', 'i_ori', 'i_point']",method,,"Add a section to a loft in CATIA. Params: `i_crv` (curve reference), `i_ori` (orientation index, integer), `i_point` (reference or VBANothing for point). Returns None. For defining additional cross-sectional shapes along the loft path, enhancing shape complexity and customization within hybrid shape modeling.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
63,9,set_end_face_for_closing,13,loft_surface2,loft_surface2.set_end_face_for_closing(i_face),['i_face'],method,,"Set the end face for closing a HybridShapeLoft in CATIA. Params: `i_face` - Reference to the face used as an end boundary. Returns: None. For defining the closure of a lofted shape by specifying its terminating surface, ensuring proper geometry completion and integrity within the design model.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
64,9,remove_section_point,14,loft_surface2,loft_surface2.remove_section_point(i_section),['i_section'],method,,"Remove a section point from a HybridShapeLoft annotation in CATIA. Params: `self` (NO_ANNOTATION instance), `i_section` (<class 'pycatia.in_interfaces.reference.Reference'>, the section to remove). Returns: None. For modifying loft annotations by removing specific sections within a hybrid shape's geometry definition.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
65,9,remove_section_point,15,loft_surface2,loft_surface2.remove_section_point(i_section),['i_section'],method,,"Remove a section point from a HybridShapeLoft annotation in CATIA. Params: `self` (NO_ANNOTATION instance), `i_section` (<class 'pycatia.in_interfaces.reference.Reference'>, the section to remove). Returns: None. For modifying loft annotations by removing specific sections within a hybrid shape's geometry definition.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
66,9,add_guide,16,loft_surface2,loft_surface2.add_guide(i_guide),['i_guide'],method,,"Add a guide to the `HybridShapeLoft` in CATIA. Params: `self` (NO_ANNOTATION instance), `i_guide` (<class 'pycatia.in_interfaces.reference.Reference'> representing the guide). Returns: None. For defining the path or shape of a lofted feature by associating it with a specified guide reference within the CATIA environment.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
67,9,add_guide,17,loft_surface2,loft_surface2.add_guide(i_guide),['i_guide'],method,,"Add a guide to the `HybridShapeLoft` in CATIA. Params: `self` (NO_ANNOTATION instance), `i_guide` (<class 'pycatia.in_interfaces.reference.Reference'> representing the guide). Returns: None. For defining the path or shape of a lofted feature by associating it with a specified guide reference within the CATIA environment.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
